Epi_week,Category,Incidence
2020_09,Amazonas,0
2020_09,Manaus,0
2020_10,Brazil,0
2020_10,Amazonas,0
2020_10,Manaus,0
2020_11,Brazil,0
2020_11,Amazonas,0
2020_11,Manaus,0
2020_12,Brazil,0.000492415
2020_12,Amazonas,0
2020_12,Manaus,0
2020_13,Brazil,0
2020_13,Amazonas,0
2020_13,Manaus,0
2020_14,Brazil,0.000492415
2020_14,Amazonas,0
2020_14,Manaus,0
2020_15,Brazil,0
2020_15,Amazonas,0
2020_15,Manaus,0
2020_16,Brazil,0
2020_16,Amazonas,0
2020_16,Manaus,0
2020_17,Brazil,0
2020_17,Amazonas,0
2020_17,Manaus,0
2020_18,Brazil,0.000492415
2020_18,Amazonas,0
2020_18,Manaus,0
2020_19,Brazil,0
2020_19,Amazonas,0
2020_19,Manaus,0
2020_20,Brazil,0
2020_20,Amazonas,0
2020_20,Manaus,0
2020_21,Brazil,0
2020_21,Amazonas,0
2020_21,Manaus,0
2020_22,Brazil,0
2020_22,Amazonas,0
2020_22,Manaus,0
2020_23,Brazil,0
2020_23,Amazonas,0
2020_23,Manaus,0
2020_24,Brazil,0
2020_24,Amazonas,0
2020_24,Manaus,0
2020_25,Brazil,0
2020_25,Amazonas,0
2020_25,Manaus,0
2020_26,Brazil,0.000492415
2020_26,Amazonas,0
2020_26,Manaus,0
2020_27,Brazil,0.000492415
2020_27,Amazonas,0
2020_27,Manaus,0
2020_28,Brazil,0.000492415
2020_28,Amazonas,0
2020_28,Manaus,0
2020_29,Brazil,0
2020_29,Amazonas,0
2020_29,Manaus,0
2020_30,Brazil,0
2020_30,Amazonas,0
2020_30,Manaus,0
2020_31,Brazil,0.000492415
2020_31,Amazonas,0
2020_31,Manaus,0
2020_32,Brazil,0
2020_32,Amazonas,0
2020_32,Manaus,0
2020_33,Brazil,0
2020_33,Amazonas,0
2020_33,Manaus,0
2020_34,Brazil,0.000492415
2020_34,Amazonas,0
2020_34,Manaus,0
2020_35,Brazil,0.000492415
2020_35,Amazonas,0
2020_35,Manaus,0
2020_36,Brazil,0
2020_36,Amazonas,0
2020_36,Manaus,0
2020_37,Brazil,0.000492415
2020_37,Amazonas,0
2020_37,Manaus,0
2020_38,Brazil,0.000492415
2020_38,Amazonas,0
2020_38,Manaus,0
2020_39,Brazil,0
2020_39,Amazonas,0
2020_39,Manaus,0
2020_40,Brazil,0.000492415
2020_40,Amazonas,0
2020_40,Manaus,0
2020_41,Brazil,0.00098483
2020_41,Amazonas,0
2020_41,Manaus,0
2020_42,Brazil,0.000492415
2020_42,Amazonas,0
2020_42,Manaus,0
2020_43,Brazil,0.000492415
