date,median,mean_7
12/17/18,0.616093061,5.431361851
12/18/18,2.346967791,5.08784571
12/19/18,7.564534958,6.088381751
12/20/18,4.850162224,5.523446057
12/21/18,7.750529269,5.431031647
12/22/18,9.512806742,7.827694611
12/23/18,3.354145763,8.245767318
12/24/18,3.190131839,8.663960166
12/25/18,5.985892847,9.534237353
12/26/18,3.504969445,8.311579449
12/27/18,3.432007887,7.958545937
12/28/18,8.041778623,8.099000441
12/29/18,1.105799654,5.635753567
12/30/18,0.515131136,5.155083905
12/31/18,0.696440721,4.748050628
1/1/19,2.008870793,3.827669117
1/2/19,3.652206565,3.840779367
1/3/19,3.073268873,3.753036924
1/4/19,1.504602505,1.984265724
1/5/19,5.645341289,2.875536096
1/6/19,8.852148461,4.899003114
1/7/19,9.367830909,7.274386813
1/8/19,8.125852806,8.919893131
1/9/19,4.384574065,9.124041692
1/10/19,7.369880073,10.542012
1/11/19,3.86775079,11.02917956
1/12/19,1.099627989,10.13797118
1/13/19,5.802835443,9.160058526
1/14/19,6.741805802,8.173184975
1/15/19,1.608892297,6.467824169
1/16/19,2.241056064,5.989109342
1/17/19,4.718475216,4.942896114
1/18/19,4.00898856,4.915157147
1/19/19,6.761470755,6.113660125
1/20/19,5.188043187,5.963163277
1/21/19,7.024204684,5.923761311
1/22/19,10.11484708,8.324540712
1/23/19,8.451964656,10.11573161
1/24/19,3.973196323,9.963301115
1/25/19,2.714630052,9.693661929
1/26/19,0.697570121,8.444496482
1/27/19,1.547001359,7.689697607
1/28/19,1.945697509,6.513395038
1/29/19,2.282418391,4.212624687
1/30/19,6.770819859,3.527206331
1/31/19,5.110244879,3.779882711
2/1/19,6.551278628,4.635783857
2/2/19,8.871632293,6.690214341
2/3/19,7.150699575,7.920817895
2/4/19,5.022945805,8.538278314
2/5/19,7.697719732,9.83782614
2/6/19,5.225223194,9.357161758
2/7/19,4.838444171,9.256880841
2/8/19,6.933263287,9.395590936
2/9/19,10.11717452,9.895106548
2/10/19,11.07058209,11.68430192
2/11/19,7.550362723,12.5228969
2/12/19,5.401041933,11.91623424
2/13/19,9.984317715,13.4594347
2/14/19,7.613413725,14.31014819
2/15/19,6.470112015,14.15775305
2/16/19,0.938440563,11.63718547
2/17/19,0.248360873,8.448187543
2/18/19,0.922869129,6.851582744
2/19/19,2.46715547,6.188272995
2/20/19,7.669208157,5.430319017
2/21/19,10.79723523,6.773099698
2/22/19,6.932172203,6.90909811
2/23/19,2.666629196,7.156666406
2/24/19,1.219136582,7.282063183
2/25/19,0.761119888,7.258764342
2/26/19,2.754078153,7.323989133
2/27/19,3.649277349,6.205921355
2/28/19,3.675881498,3.771245344
3/1/19,1.728603512,2.63669466
3/2/19,0.423181234,2.321607278
3/3/19,0.797082758,2.266310099
3/4/19,0.685336015,2.257931817
3/5/19,0.309231565,1.895210117
3/6/19,0.555245183,1.370206655
3/7/19,2.946871096,1.201326554
3/8/19,2.679279291,1.340592359
3/9/19,0.962356562,1.412126649
3/10/19,5.063728613,2.193697792
3/11/19,4.488921917,2.896630862
3/12/19,8.467666245,4.928237324
3/13/19,3.53701338,5.416507849
3/14/19,0.768450878,5.100153321
3/15/19,4.2738945,5.450935073
3/16/19,5.503047872,6.32785536
3/17/19,1.473751244,5.63638818
3/18/19,0.459900271,4.905522731
3/19/19,0.54359712,2.901486464
3/20/19,0.824116498,2.448770379
3/21/19,7.312586216,3.740994071
3/22/19,4.933590038,3.873556094
3/23/19,1.281855642,3.038715261
3/24/19,1.02680451,2.980703224
3/25/19,6.635173962,4.17324781
3/26/19,1.424132891,4.289196076
3/27/19,0.843357769,4.291507406
3/28/19,2.005203685,3.167343379
3/29/19,9.747701898,4.621288193
3/30/19,11.93409627,7.899843386
3/31/19,4.577723713,8.531155764
4/1/19,1.280232387,7.446301004
4/2/19,0.887121245,7.376073111
4/3/19,2.687185083,7.635876666
4/4/19,6.053630327,8.490947724
4/5/19,2.196517512,6.481777187
4/6/19,0.846070582,3.144822214
4/7/19,5.448605956,3.34969662
4/8/19,10.04457536,5.793124751
4/9/19,8.437411713,7.68824628
4/10/19,5.946698404,8.434464245
4/11/19,2.690820584,7.686485151
4/12/19,4.380750326,8.127982537
4/13/19,4.832297354,8.863680058
4/14/19,2.505244993,8.234767608
4/15/19,10.28833052,8.339316357
4/16/19,5.033569618,7.231914026
4/17/19,3.842807565,6.72511067
4/18/19,1.481271672,6.545552781
4/19/19,4.822234475,6.623609085
4/20/19,5.586712287,6.80251895
4/21/19,9.983094654,8.948062157
4/22/19,9.227932,8.413372419
4/23/19,7.602193481,9.103315743
4/24/19,3.231301951,8.977747399
4/25/19,2.558226603,9.133360105
4/26/19,7.457838784,9.733634362
4/27/19,8.558992341,10.66160994
4/28/19,4.928119695,9.032011344
4/29/19,6.062239032,7.99153939
4/30/19,3.878146606,7.023864869
5/1/19,4.542732242,7.302032608
5/2/19,7.906032685,8.621778765
5/3/19,6.953897756,8.558185281
5/4/19,3.858406607,7.214609323
5/5/19,1.244681741,6.518554789
5/6/19,1.195786493,5.535321416
5/7/19,4.274929396,5.605432261
